source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
1360179343364098176,258.8924347298529,0.11226256231816967,42.68383394101508,0.12820946331763539,5.052617963630716,0.13194648883301718,0.8695050570906393,-0.8005315522916734,17.970848,2.7932587,,,"NOT_AVAILABLE",,
1360307715642367872,260.39149799652614,0.03850698806141953,43.30741467102598,0.04179537559225782,9.016444247752895,0.043371884683891276,3.2395482180492206,-11.194776614556005,15.317944,2.674077,,,"NOT_AVAILABLE",3304.5,
1360268579900329984,260.6181388185346,0.023523374423645237,43.18292409706317,0.028497335384165476,8.356511363204236,0.02796256215544552,4.194265199110166,36.67281772051619,14.990422,2.4983292,,,"NOT_AVAILABLE",3558.7366,0.429
1360312044969418880,260.332244009663,0.03132898213301321,43.39906469273545,0.032981668166784356,17.73020064946435,0.03468704139087262,-86.9335670534521,-23.699895382575697,13.019936,2.197794,-35.07527145069896,1.2845535426285895,"NOT_AVAILABLE",4039.87,0.113
1360210683741973888,259.2956829511593,0.19147587976024463,42.87986519117251,0.20304604633856999,6.7308010126592706,0.22260278066966271,25.07587515340931,6.708037315469544,19.115688,3.3951263,,,"NOT_AVAILABLE",,
1360327541211494272,260.4867508191044,0.06422884559154132,43.60884398170091,0.06831521009588054,6.093121392123433,0.07245316769670358,-11.72097718482377,7.309045872486339,16.87924,3.081295,,,"NOT_AVAILABLE",4185.8022,1.1743
1360158560018674816,258.6521258617036,0.13094598255453674,42.2711293691105,0.17564761116882618,7.296769302570121,0.16724247143074364,-14.623880911042715,45.52358968447621,18.242224,3.3033695,,,"NOT_AVAILABLE",,
1360313243265942016,260.3333067223195,0.13293180755763284,43.45411624153657,0.1636102256366452,9.737405227632522,0.1531286193634194,68.05522091271938,-0.3171936903320861,18.387745,0.43474388,,,"NOT_AVAILABLE",,
1360238579557071360,260.413065758844,0.2272699642535456,42.96092723592004,0.2668806412416553,5.440769157148606,0.25622649657990454,-21.233717072845614,52.31861684624326,19.327084,3.1643715,,,"NOT_AVAILABLE",,
1360183195949487488,258.80269004773476,0.10301050437596047,42.734686253120245,0.1167793997801639,15.085366528634825,0.11931535162580045,49.721902391933426,-51.04348775583579,17.45014,3.6884499,,,"NOT_AVAILABLE",,
1360191923324889984,259.07122237264514,0.042971206185548116,42.914531387160885,0.04415999644882511,12.096919192962638,0.04612169290159537,61.082177479404095,53.4589631278898,12.671591,2.0074406,-18.654371480404745,1.5095823448674293,"NOT_AVAILABLE",4139.15,
1360237067725277440,260.38692483394914,0.08236852207407346,42.888008596783145,0.10734361887393806,5.511017015119598,0.0982362436488844,-8.371019188401593,11.466495202146152,17.591156,2.8135033,,,"NOT_AVAILABLE",,
1360223912241254528,259.5815511643015,0.0425801848673092,43.17887389319328,0.043461632553588675,7.343027907024067,0.048494195941609454,16.400244751234155,13.97592169574036,15.626031,2.5543032,,,"NOT_AVAILABLE",3291.0,0.3315
1360260157468076928,260.31913981171755,0.07267263690148879,43.236891714419066,0.08200108826886711,5.222118157208428,0.07367384032248965,-4.679256712365522,-55.178191067195996,16.894226,2.5716448,,,"NOT_AVAILABLE",3666.9126,0.0403
1360312315551159936,260.31772664572134,0.11424784563899881,43.41229563282577,0.12342097100840085,16.751092036988506,0.12676027160829517,22.196718352068665,15.30852691246411,17.77714,4.3777523,,,"NOT_AVAILABLE",,
1360237480042069504,260.41879725444824,0.01962187635803779,42.9019993445988,0.022328986988205145,6.97300926056608,0.023044632734847876,-24.98761307675008,-23.071676457108516,11.716439,1.1234875,-47.92592484114654,0.7135769693264697,"NOT_AVAILABLE",4984.6733,0.1733
1360234529399527424,260.1656399974865,0.02283315015571047,42.851203639239074,0.022513662629037007,5.604285509635921,0.026059405317800932,-32.112952168895504,13.435215121669753,14.801891,2.0386772,,,"NOT_AVAILABLE",4040.9175,0.1393
1360243566010946176,260.4543655024588,0.017180395822935665,43.048804017116915,0.020709308959915382,5.123443877212456,0.020108974660140822,10.065384145433713,-29.23146180952002,14.875667,1.833004,,,"NOT_AVAILABLE",4267.467,0.382
1360217246452019840,259.41427381683246,0.05298756650560651,43.071549262329995,0.0549836450566515,11.45173686507739,0.05951545412555385,-16.70461818810255,251.46739336046429,16.424042,2.8043242,,,"NOT_AVAILABLE",3785.66,0.1995
1360239786439728640,260.6091318069028,0.023829268236155905,43.031174817374726,0.02739373341692172,8.921267071623888,0.027978800956034434,-39.51665514555271,-28.998375122821937,14.40378,2.3303394,,,"NOT_AVAILABLE",4039.5,0.3113
