source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
4421571906705434752,229.67357469308803,0.21037634352614842,2.0604537293658645,0.16618334178100272,0.2466024812033005,0.21911467228046727,18.457077,0.66137886,,,"NOT_AVAILABLE",,
4421572486530312704,229.68034813242087,0.04675255567445409,2.072819847374086,0.04627298424042312,0.03274824134440636,0.055692331442991,15.303791,1.0674973,,,"NOT_AVAILABLE",5054.0073,
4421573349817615744,229.6659183191956,21.226800016311728,2.1062582409417354,36.20456126730129,,,18.367737,,,,"NOT_AVAILABLE",,
4421572971858492416,229.63014593173395,0.8350728728946363,2.0917980079186664,0.42204183821010743,,,17.301779,,,,"NOT_AVAILABLE",,
4421478929254163968,229.6079049210725,0.7245700928282324,2.0558963268345605,1.0984294592451274,,,19.736572,,,,"NOT_AVAILABLE",,
4421573379883546752,229.64709977903655,0.31467079076231075,2.1119084032348194,0.29089525207428973,0.49098707050077417,0.37871814042420127,16.597452,0.8305197,,,"NOT_AVAILABLE",5190.3335,
4421573418535109120,229.65756186633055,0.06772847843618635,2.10970037570701,0.12668747097209013,0.5345514419755683,0.13347782985767312,16.441032,0.94249916,,,"NOT_AVAILABLE",5190.3335,
4421572937502497408,229.64353390878384,10.291992432890625,2.083957706358945,18.179263450340514,,,16.140001,,,,"NOT_AVAILABLE",,
4421572181583774080,229.66343138016416,0.16844576118143575,2.0772033493324837,0.18148250756991885,0.39852103289803437,0.22773089015794623,17.928453,0.6133423,,,"NOT_AVAILABLE",,
4421572971858528640,229.62531853703996,59.4553647604859,2.091395937554069,31.720646542516867,,,17.610758,,,,"NOT_AVAILABLE",,
4421573384176506752,229.6544579136206,0.2533988487347777,2.1104330990084805,0.1747552523142014,0.3556293072292901,0.23267851099654846,17.990696,0.68102646,,,"NOT_AVAILABLE",,
4421573074938067200,229.59420673568258,0.16045759175120675,2.0898744001112948,0.16755452982462113,0.273948201923506,0.2175120308901997,18.245926,0.6738491,,,"NOT_AVAILABLE",,
4421571941065342592,229.62986942426187,7.895133176243349,2.042508210501748,0.8579489609029728,,,19.25605,,,,"NOT_AVAILABLE",,
4421573620401715456,229.6471575969999,0.018778204393041384,2.12776468473278,0.01707499268443372,0.1327745177614535,0.02182153137875532,13.053659,1.3640804,65.17473384128121,1.9628174476294284,"NOT_AVAILABLE",4834.8374,0.4285
4421573384175388800,229.64901993637127,0.22313879183207525,2.1052403639447363,0.19686064084225463,-0.7278071747222037,0.2574100493799666,17.871502,0.6300144,,,"NOT_AVAILABLE",,
4421572868779126016,229.6128692368579,0.5885809839466275,2.0746749637601893,0.9409139777856188,,,18.233381,,,,"NOT_AVAILABLE",,
